epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.961482584476471,0.0010000000474974513,0.10489123314619064,0.9761371612548828,0.0621967650949955
1,0.9743242263793945,0.0010000000474974513,0.0674133226275444,0.9768572449684143,0.058028750121593475
2,0.9757643938064575,0.0010000000474974513,0.062288057059049606,0.9778973460197449,0.05560016632080078
3,0.9765695333480835,0.0010000000474974513,0.05954866483807564,0.978317379951477,0.05449099838733673
4,0.9767995476722717,0.0010000000474974513,0.05855080112814903,0.9788674712181091,0.053311411291360855
5,0.9773045778274536,0.0010000000474974513,0.05707858130335808,0.9792075157165527,0.052839890122413635
6,0.9776571393013,0.0010000000474974513,0.056456781923770905,0.9782773852348328,0.05116698890924454
7,0.9782722592353821,0.0010000000474974513,0.05568215250968933,0.9797375798225403,0.05072450637817383
8,0.9785472750663757,0.0010000000474974513,0.054606951773166656,0.980237603187561,0.05035720393061638
9,0.9787147641181946,0.0010000000474974513,0.05433334782719612,0.9793274998664856,0.051709748804569244
10,0.978777289390564,0.0010000000474974513,0.053892139345407486,0.9805376529693604,0.05045974627137184
