epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9637503623962402,0.0010000000474974513,0.09662675112485886,0.9741069078445435,0.06786436587572098
1,0.9729490280151367,0.0010000000474974513,0.07096035033464432,0.9763571619987488,0.06375757604837418
2,0.9748992919921875,0.0010000000474974513,0.06602105498313904,0.9763271808624268,0.06185594201087952
3,0.9752368330955505,0.0010000000474974513,0.06385242938995361,0.9780473709106445,0.059174712747335434
4,0.9757568836212158,0.0010000000474974513,0.06251474469900131,0.9772172570228577,0.05839569494128227
5,0.9761694669723511,0.0010000000474974513,0.061154089868068695,0.9785674214363098,0.05746748670935631
6,0.9764119982719421,0.0010000000474974513,0.06098422408103943,0.978287398815155,0.05820263922214508
7,0.9765945076942444,0.0010000000474974513,0.060734204947948456,0.9769072532653809,0.05824192985892296
8,0.9769795536994934,0.0010000000474974513,0.05977318808436394,0.977487325668335,0.05664455518126488
9,0.9769620895385742,0.0010000000474974513,0.05966564267873764,0.9753970503807068,0.057448603212833405
10,0.9770445823669434,0.0010000000474974513,0.059884656220674515,0.9749569892883301,0.0568767748773098
11,0.9770495891571045,0.0010000000474974513,0.05929175019264221,0.976077139377594,0.058310747146606445
12,0.9773021340370178,0.0010000000474974513,0.0594799779355526,0.9789174795150757,0.05554750934243202
13,0.9780471920967102,0.0010000000474974513,0.05805749073624611,0.9790874719619751,0.055447258055210114
14,0.9779546856880188,0.0010000000474974513,0.058186836540699005,0.9791575074195862,0.05477653071284294
